item_id,mean_nearest_price
0,58.0
1,4490.0
2,58.0
3,100.0
4,58.0
5,28.0
6,100.0
7,28.0
8,58.0
9,58.0
10,28.0
11,58.0
12,189.0
13,58.0
14,28.0
15,58.0
16,58.0
17,98.0
18,58.0
19,28.0
20,58.0
21,58.0
22,28.0
23,28.0
24,98.0
25,58.0
26,58.0
27,1524.2074074074073
28,306.65675675675675
29,1657.6363636363637
30,250.14941269841265
31,515.4450208282286
32,205.14716981132074
33,225.11111111111111
34,142.55882352941177
35,374.92857142857144
36,179.53571428571428
37,140.8774193548387
38,2281.3177419354843
39,5813.285714285715
40,237.52380952380952
41,233.9375
42,261.8
43,169.625
44,261.6666666666667
45,291.6666666666667
46,239.6153846153846
47,237.9090909090909
48,243.45454545454547
49,261.7142857142857
50,249.0
51,243.70909090909092
52,244.52631578947367
53,293.2608695652174
54,288.84615384615387
55,254.8
56,283.47058823529414
57,278.6
58,127.0
59,225.75599999999997
60,239.47058823529412
61,310.22222222222223
62,301.4065714285714
63,140.159375
64,133.2179487179487
65,387.95652173913044
66,394.20714285714286
67,142.325
68,28.0
69,250.0
70,346.36842105263156
71,526.7777777777778
72,115.376
73,55.125
74,532.3333333333334
75,138.2846153846154
76,488.74652777777777
77,287.1054421768707
78,389.16212121212124
79,391.55555555555554
80,233.97166666666666
81,290.2307692307692
82,286.625
84,139.0
85,289.4937142857143
86,38.0
87,526.7777777777778
88,138.63333333333333
89,134.25
90,392.7674418604651
91,512.8824786324786
92,249.0
93,242.196
94,204.625
95,264.0833333333333
96,139.8846153846154
97,138.56375
98,384.0568181818182
99,129.62870967741935
100,143.59259259259258
101,216.0
102,27900.0
103,12900.0
104,4900.0
105,28.0
106,28.0
107,172.0
108,172.0
109,218.44444444444446
110,172.0
111,195.0
112,172.0
113,214.26315789473685
114,172.0
115,183.6153846153846
116,89.0
117,172.0
118,114.0
119,75.0
120,114.0
121,172.0
122,75.0
123,314.0
124,114.0
125,114.0
126,114.0
127,114.0
128,114.0
129,114.0
130,114.0
131,114.0
132,216.0
133,225.8
134,249.0
135,250.0
136,162.33333333333334
137,172.0
138,249.0
139,249.0
141,144.0
142,299.0
143,249.0
144,114.0
145,144.0
146,110.0
147,110.0
148,114.0
149,228.5925
150,188.0
151,227.25
152,231.08823529411765
153,387.72
154,290.4375
155,289.55172413793105
156,288.04
